Undergrade University,Undergrade CGPA,Undergrade Department,IELTS/TOEFL,GRE,Conference Paper,Journal Paper,Job Experience(Years),Class
NSU,3.98,ENGLISH,120,0,1,0,1,A
NSU,3.98,ENGLISH,120,0,1,0,1,A
NSU,3.98,ENGLISH,120,0,1,0,1,A
NSU,3.98,ENGLISH,120,0,1,0,1,A
NSU,3.98,ENGLISH,120,0,1,0,1,A
SUST,3.37,PME,101,312,1,1,0,C
SUST,3.37,PME,101,312,1,1,0,C
SUST,3.37,PME,101,312,1,1,0,C
SUST,3.37,PME,101,312,1,1,0,D
SUST,3.37,PME,101,312,1,1,0,C
SUST,3.37,PME,101,312,1,1,0,C
SUST,3.37,PME,101,312,1,1,0,D
UIU,3.65,EEE ,93,308,1,0,3,C
DU,3.94,EEE,120,325,11,0,0.7,A
DU,3.94,EEE,120,325,11,0,0.7,A
AIUB,3.44,EEE,92,301,2,0,0,D
AIUB,3.44,EEE,92,301,2,0,0,D
AIUB,3.44,EEE,92,301,2,0,0,D
DU,3.43,GEO,101,300,0,0,0.8,D
SUST,3.01,CSE,101,305,1,0,12,D
DU,3.53,GEO,101,317,0,0,0,A
DU,3.53,GEO,101,317,0,0,0,B
DU,3.53,GEO,101,317,0,0,0,C
CUET,3.02,URP,88,309,6,0,4,D
BUET,3.02,IPE ,108,321,0,1,0.5,D
BUET,3.02,IPE ,108,321,0,1,0.5,D
MIST,3.24,EEE,109,319,0,0,5.6,B
MIST,3.24,EEE,109,319,0,0,5.6,B
MIST,3.24,EEE,109,319,0,0,5.6,C
MIST,3.24,EEE,109,319,0,0,5.6,D
MIST,3.24,EEE,109,319,0,0,5.6,D
RUET,3.22,ME,93,311,2,2,2.5,B
RUET,3.22,ME,93,311,2,2,2.5,B
RUET,3.22,ME,93,311,2,2,2.5,D
BUET,3.84,ME,91,308,0,0,0,A
IUT,3.75,ME,109,318,3,0,0,B
IUT,3.75,ME,109,318,3,0,0,C
IUT,3.75,ME,109,318,3,0,0,C
IUT,3.75,ME,109,318,3,0,0,C
KUET,3.94,IEM,88,305,1,1,0,C
DU,3.31,BBA,101,306,0,0,0,D
DU,3.31,BBA,101,306,0,0,0,D
DU,3.31,BBA,101,306,0,0,0,D
DU,3.31,BBA,101,306,0,0,0,D
DU,3.31,BBA,101,306,0,0,0,C
BUET,3.15,IPE ,109,316,1,0,7,C
BUET,3.15,IPE ,109,316,1,0,7,C
BUET,3.15,IPE ,109,316,1,0,7,C
BUET,3.15,IPE ,109,316,1,0,7,D
BUET,3.15,IPE ,109,316,1,0,7,D
BUET,3.15,IPE ,109,316,1,0,7,D
SUST,3.2,CEE,93,313,0,3,0.7,D
CUET,3.33,GEO,100,0,1,0,0.4,A
SUST,3.15,ARCHITECTURE,109,0,2,0,2,B
SUST,3.15,ARCHITECTURE,109,0,2,0,2,A
NU,3.08,ETE,101,301,3,3,4.8,D
NU,3.08,ETE,101,301,3,3,4.8,D
MIST,3.48,ANE,101,301,1,0,3.5,C
MIST,3.48,ANE,101,301,1,0,3.5,C
KUET,3.7,URP,99,307,0,0,2,C
JUET,3.4,PME,86,310,2,2,0,D
KUET,3.15,EEE,93,309,0,0,1.5,D
KUET,3.15,EEE,93,309,0,0,1.5,B
KUET,3.15,EEE,93,309,0,0,1.5,D
KUET,3.15,EEE,93,309,0,0,1.5,D
KUET,3.15,EEE,93,309,0,0,1.5,A
KUET,3.15,EEE,93,309,0,0,1.5,D
MIST,3.67,CSE,109,0,7,0,4,A
RUET,3.25,ME,93,302,2,0,4,A
RUET,3.25,ME,93,302,2,0,4,C
RUET,3.25,ME,93,302,2,0,4,A
RUET,3.25,ME,93,302,2,0,4,C
RUET,3.5,ETE,93,308,2,0,3.6,D
JU,3.69,ENGLISH,113,0,13,0,6.5,A
DU,3.54,BBA,88,305,0,0,2,C
DU,3.54,BBA,88,305,0,0,2,A
DU,3.54,BBA,88,305,0,0,2,D
DU,3.54,BBA,88,305,0,0,2,D
DU,3.54,BBA,88,305,0,0,2,D
DU,3.54,BBA,88,305,0,0,2,C
DU,3.54,BBA,88,305,0,0,2,C
RUET,3.46,IPE ,84,301,1,2,3,C
RUET,3.46,IPE ,84,301,1,2,3,C
RUET,3.46,IPE ,84,301,1,2,3,C
AUST,3.52,EEE,101,295,0,0,2.5,C
AUST,3.52,EEE,101,295,0,0,2.5,D
AUST,3.52,EEE,101,295,0,0,2.5,A
AUST,3.52,EEE,101,295,0,0,2.5,C
BUET,3.33,ME,107,330,0,0,0.7,C
BUET,3.63,ME,109,319,1,0,3,D
IUT,3.89,CSE,106,313,0,0,45,B
IUT,3.89,CSE,106,313,0,0,45,B
KUET,3.55,URP,112,321,1,1,1.1,A
KUET,3.55,URP,112,321,1,1,1.1,A
UAP,3.43,CEE,101,306,1,0,2,D
IUB,4,BIO,101,310,0,0,0,C
IUB,4,BIO,101,310,0,0,0,C
IUT,3.73,CSE,101,0,2,2,0.6,C
IUT,3.73,CSE,10-Apr,0,2,2,0.6,A
AIUB,3.99,CSE,109,337,1,0,0.6,A
AIUB,3.99,CSE,109,337,1,0,0.6,C
AIUB,3.99,CSE,109,337,1,0,0.6,A
AIUB,3.99,CSE,109,337,1,0,0.6,A
DU,3.43,SWE,102,309,1,0,0,A
DU,3.63,CHEMISTRY,88,301,0,0,2,C
DU,3.63,CHEMISTRY,88,301,0,0,2,C
DU,3.63,CHEMISTRY,88,301,0,0,2,C
DU,3.6,BBA,101,308,0,0,0,D
JU,3.9,MATH,99,310,0,0,0,D
JU,3.9,MATH,99,310,0,0,0,C
JU,3.9,MATH,99,310,0,0,0,C
DU,3.27,PHYSICS,91,0,2,4,1.5,D
DU,3.27,PHYSICS,91,0,2,4,1.5,B
DU,3.27,PHYSICS,91,0,2,4,1.5,C
DU,3.27,PHYSICS,91,0,2,4,1.5,D
DU,3.27,PHYSICS,91,0,2,4,1.5,D
SAU,3.52,AE,109,0,0,0,0,C
DU,3.67,OTHER,96,301,2,1,2,D
EWU,3.36,BBA,101,0,0,0,2,A
JU,3.62,BIOTECH,108,320,1,0,0,D
AUST,3.2,IPE,93,303,0,0,1.5,D
AUST,3.2,IPE,93,303,0,0,1.5,B
AUST,3.2,IPE,93,303,0,0,1.5,C
AUST,3.2,IPE,93,303,0,0,1.5,D
OTHER,3.42,CSE,0,0,1,0,0.6,A
OTHER,3.3,OTHER,109,305,0,0,0.7,B
IUT,3.15,CEE,113,316,1,0,2,A
IUT,3.15,CEE,113,316,1,0,2,C
IUT,3.15,CEE,113,316,1,0,2,D
