Undergrade CGPA,IELTS/TOEFL,GRE,Conference Paper,Journal Paper,Job Experience(Years),Class
3.98,120,0,1,0,1,1
3.98,120,0,1,0,1,1
3.98,120,0,1,0,1,1
3.98,120,0,1,0,1,1
3.98,120,0,1,0,1,1
3.37,101,312,1,1,0,3
3.37,101,312,1,1,0,3
3.37,101,312,1,1,0,3
3.37,101,312,1,1,0,4
3.37,101,312,1,1,0,3
3.37,101,312,1,1,0,3
3.37,101,312,1,1,0,4
3.65,93,308,1,0,3,3
3.94,120,325,11,0,0.7,1
3.94,120,325,11,0,0.7,1
3.44,92,301,2,0,0,4
3.44,92,301,2,0,0,4
3.44,92,301,2,0,0,4
3.43,101,300,0,0,0.8,4
3.01,101,305,1,0,12,4
3.53,101,317,0,0,0,1
3.53,101,317,0,0,0,2
3.53,101,317,0,0,0,3
3.02,88,309,6,0,4,4
3.02,108,321,0,1,0.5,4
3.02,108,321,0,1,0.5,4
3.24,109,319,0,0,5.6,2
3.24,109,319,0,0,5.6,2
3.24,109,319,0,0,5.6,3
3.24,109,319,0,0,5.6,4
3.24,109,319,0,0,5.6,4
3.22,93,311,2,2,2.5,2
3.22,93,311,2,2,2.5,2
3.22,93,311,2,2,2.5,4
3.84,91,308,0,0,0,1
3.75,109,318,3,0,0,2
3.75,109,318,3,0,0,3
3.75,109,318,3,0,0,3
3.75,109,318,3,0,0,3
3.94,88,305,1,1,0,3
3.31,101,306,0,0,0,4
3.31,101,306,0,0,0,4
3.31,101,306,0,0,0,4
3.31,101,306,0,0,0,4
3.31,101,306,0,0,0,3
3.15,109,316,1,0,7,3
3.15,109,316,1,0,7,3
3.15,109,316,1,0,7,3
3.15,109,316,1,0,7,4
3.15,109,316,1,0,7,4
3.15,109,316,1,0,7,4
3.2,93,313,0,3,0.7,4
3.33,100,0,1,0,0.4,1
3.15,109,0,2,0,2,2
3.15,109,0,2,0,2,1
3.08,101,301,3,3,4.8,4
3.08,101,301,3,3,4.8,4
3.48,101,301,1,0,3.5,3
3.48,101,301,1,0,3.5,3
3.7,99,307,0,0,2,3
3.4,86,310,2,2,0,4
3.15,93,309,0,0,1.5,4
3.15,93,309,0,0,1.5,2
3.15,93,309,0,0,1.5,4
3.15,93,309,0,0,1.5,4
3.15,93,309,0,0,1.5,1
3.15,93,309,0,0,1.5,4
3.67,109,0,7,0,4,1
3.25,93,302,2,0,4,1
3.25,93,302,2,0,4,1
3.25,93,302,2,0,4,1
