Undergrade CGPA,IELTS or TOEFL,GRE,Conference Paper,Journal Paper,Job Experience(Years),Class
3.98,111,0,1,0,1,1
3.98,111,0,1,0,1,1
3.98,111,0,1,0,1,1
3.98,111,0,1,0,1,1
3.98,111,0,1,0,1,1
3.37,112,312,1,1,0,3
3.37,112,312,1,1,0,3
3.37,112,312,1,1,0,3
3.37,104,312,1,1,0,4
3.37,104,312,1,1,0,3
3.37,101,312,1,1,0,3
3.37,101,312,1,1,0,4
3.65,101,308,1,0,3,3
3.94,104,325,11,0,0.7,1
3.94,104,325,11,0,0.7,1
3.44,104,301,2,0,0,4
3.44,104,301,2,0,0,4
3.44,104,301,2,0,0,4
3.43,101,300,0,0,0.8,4
3.01,101,305,1,0,12,4
3.53,101,317,0,0,0,1
3.53,101,317,0,0,0,2
3.53,107,317,0,0,0,3
3.02,101,309,6,0,4,4
3.02,118,321,0,1,0.5,4
3.02,118,321,0,1,0.5,4
3.24,118,319,0,0,5.6,2
3.24,118,319,0,0,5.6,2
3.24,101,319,0,0,5.6,3
3.24,101,319,0,0,5.6,4
3.24,101,319,0,0,5.6,4
3.22,101,311,2,2,2.5,2
3.22,101,311,2,2,2.5,2
3.22,101,311,2,2,2.5,4
3.84,101,308,0,0,0,1
3.75,93,318,3,0,0,2
3.75,93,318,3,0,0,3
3.75,93,318,3,0,0,3
3.75,92,318,3,0,0,3
3.94,87,305,1,1,0,3
3.31,87,306,0,0,0,4
3.31,87,306,0,0,0,4
3.31,108,306,0,0,0,4
3.31,108,306,0,0,0,4
3.31,108,306,0,0,0,3
3.15,108,316,1,0,7,3
3.15,120,316,1,0,7,3
3.15,120,316,1,0,7,3
3.15,120,316,1,0,7,4
3.15,120,316,1,0,7,4
3.15,120,316,1,0,7,4
3.2,120,313,0,3,0.7,4
3.33,103,0,1,0,0.4,1
3.15,103,0,2,0,2,2
3.15,100,0,2,0,2,1
3.08,96,301,3,3,4.8,4
3.08,96,301,3,3,4.8,4
3.48,105,301,1,0,3.5,3
3.48,95,301,1,0,3.5,3
3.7,105,307,0,0,2,3
3.4,105,310,2,2,0,4
3.15,109,309,0,0,1.5,4
3.15,109,309,0,0,1.5,2
3.15,120,309,0,0,1.5,4
3.15,101,309,0,0,1.5,4
3.15,111,309,0,0,1.5,1
3.15,111,309,0,0,1.5,4
3.67,111,0,7,0,4,1
3.25,115,302,2,0,4,1
3.25,112,302,2,0,4,1
3.25,112,302,2,0,4,1
3.25,112,302,2,0,4,3
3.5,112,308,2,0,3.6,4
3.69,112,0,13,0,6.5,1
3.54,112,305,0,0,2,3
3.54,99,305,0,0,2,1
3.54,114,305,0,0,2,4
3.54,114,305,0,0,2,4
3.54,114,305,0,0,2,4
3.54,102,305,0,0,2,3
3.54,96,305,0,0,2,3
3.46,93,301,1,2,3,3
3.46,93,301,1,2,3,3
3.46,86,301,1,2,3,3
3.52,86,295,0,0,2.5,3
3.52,92,295,0,0,2.5,4
3.52,92,295,0,0,2.5,1
3.52,94,295,0,0,2.5,3
3.33,94,330,0,0,0.7,3
3.63,95,319,1,0,3,4
3.89,114,313,0,0,45,2
3.89,106,313,0,0,45,2
3.55,91,321,1,1,1.1,1
3.55,109,321,1,1,1.1,1
3.43,96,306,1,0,2,4
4,96,310,0,0,0,3
4,96,310,0,0,0,3
3.73,98,0,2,2,0.6,3
3.99,100,337,1,0,0.6,1
3.99,100,337,1,0,0.6,3
3.99,100,337,1,0,0.6,1
3.99,100,337,1,0,0.6,1
3.43,100,309,1,0,0,1
3.63,100,301,0,0,2,3
3.63,101,301,0,0,2,3
3.63,116,301,0,0,2,3
3.6,116,308,0,0,0,4
3.9,116,310,0,0,0,4
3.9,116,310,0,0,0,3
3.9,87,310,0,0,0,3
3.27,87,0,2,4,1.5,4
3.27,87,0,2,4,1.5,2
3.27,87,0,2,4,1.5,3
3.27,104,0,2,4,1.5,4
3.27,90,0,2,4,1.5,4
