Undergrade University,Undergrade CGPA,Undergrade Department,IELTS,TOEFL,GRE/GMAT,Conference Paper,Journal Paper,Job Experience(Years),Accepted University,Ranking,University Class
NSU,3.98,ENGLISH,9,0,0,1,0,1,University of Alberta (MA),119,A
NSU,3.98,ENGLISH,9,0,0,1,0,1,University of British Columbia (MA),45,A
NSU,3.98,ENGLISH,9,0,0,1,0,1,"University of York, UK (MA) ",150,A
NSU,3.98,ENGLISH,9,0,0,1,0,1,University of Waterloo (MA),166,B
NSU,3.98,ENGLISH,9,0,0,1,0,1,McMaster University ,140,A
SUST,3.37,PME,7,0,312,1,1,0,University of Memphis,576,D
SUST,3.37,PME,7,0,312,1,1,0,University of North Dakota ,561,D
SUST,3.37,PME,7,0,312,1,1,0,University of Louisiana at Lafayette,666,D
SUST,3.37,PME,7,0,312,1,1,0, Rowan University,1641,F
SUST,3.37,PME,7,0,312,1,1,0,University of Alaska Fairbanks,603,D
SUST,3.37,PME,7,0,312,1,1,0,Montana State University ,578,D
SUST,3.37,PME,7,0,312,1,1,0,University of Texas Rio Grande Valley ,759,E
UIU,3.65,EEE ,6.5,0,308,1,0,3,University Of Toledo,722,D
DU,3.94,EEE,,120,325,11,0,0.7,University of California,31,A
DU,3.94,EEE,,120,325,11,0,0.7,Rice University ,95,A
AIUB,3.44,EEE,,92,301,2,0,0,University of Texas Rio Grande Valley (MS),759,E
AIUB,3.44,EEE,,92,301,2,0,0,Darmstadt University of Applied Sciences (MS),1926,F
AIUB,3.44,EEE,,92,301,2,0,0,South Dakota School of Mines and Technology,1845,F
DU,3.43,GEO,7,0,300,0,0,0.8,Kent State University,801,E
SUST,3.01,CSE,7,0,305,1,0,12,"NEW MEXICO STATE UNIVERSITY, LAS CRUCES",783,E
DU,3.53,GEO,0,101,317,0,0,0,University of Texas,65,A
DU,3.53,GEO,0,101,317,0,0,0, Dallas (MS),401,C
DU,3.53,GEO,0,101,317,0,0,0,"University of Arkansas, Fayettville",601,D
CUET,3.02,URP,0,88,309,6,0,4,"Missouri State University, USA",800,E
BUET,3.02,IPE ,0,108,321,0,1,0.5,UC Merced,879,E
BUET,3.02,IPE ,0,108,321,0,1,0.5,University of California Merced,879,E
MIST,3.24,EEE,7.5,0,319,0,0,5.6,Georgia State University,480,C
MIST,3.24,EEE,7.5,0,319,0,0,5.6,UT Dallas,401,C
MIST,3.24,EEE,7.5,0,319,0,0,5.6,UT Arlington,558,D
MIST,3.24,EEE,7.5,0,319,0,0,5.6,Kennesaw State University,1871,F
MIST,3.24,EEE,7.5,0,319,0,0,5.6,Central Michigan University,1473,F
RUET,3.22,ME,6.5,0,311,2,2,2.5, University of Alabama,387,C
RUET,3.22,ME,6.5,0,311,2,2,2.5,Tuscaloosa,387,C
RUET,3.22,ME,6.5,0,311,2,2,2.5,Oklahoma State University,766,E
BUET,3.84,ME,0,91,308,0,0,0,"University of Minnesota, Duluth.",156,A
IUT,3.75,ME,7.5,0,318,3,0,0,University of Akron(MSc),494,C
IUT,3.75,ME,7.5,0,318,3,0,0,University of Louisiana at Lafayette(MSc),666,D
IUT,3.75,ME,7.5,0,318,3,0,0,"Concordia University, Canada(MSc)",613,D
IUT,3.75,ME,7.5,0,318,3,0,0,University of Toledo,722,D
KUET,3.94,IEM,0,88,305,1,1,0,University of Toledo,722,D
DU,3.31,BBA,7,0,306,0,0,0,Bowling Green State University,1101,F
DU,3.31,BBA,7,0,306,0,0,0,Middle Tennessee State University ,758,E
DU,3.31,BBA,7,0,306,0,0,0,Central Michigan University,1473,F
DU,3.31,BBA,7,0,306,0,0,0, Illinois State University,1355,F
DU,3.31,BBA,7,0,306,0,0,0,University of Toledo,722,D
BUET,3.15,IPE ,7.5,0,316,1,0,7,Western Michigan University,625,D
BUET,3.15,IPE ,7.5,0,316,1,0,7,West Virginia University,617,D
BUET,3.15,IPE ,7.5,0,316,1,0,7,Montana State University,578,D
BUET,3.15,IPE ,7.5,0,316,1,0,7,Grand valley State University,1879,F
BUET,3.15,IPE ,7.5,0,316,1,0,7, North Carolina A&T University,1950,F
BUET,3.15,IPE ,7.5,0,316,1,0,7,TAMU Kingsville.,1949,F
SUST,3.2,CEE,6.5,0,313,0,3,0.7,Florida Atlantic University,854,E
CUET,3.33,GEO,0,100,0,1,0,0.4,State University of New York College of Environmental Science and Forestry,46,A
SUST,3.15,ARCHITECTURE,7.5,0,0,2,0,2,NC state University,285,B
SUST,3.15,ARCHITECTURE,7.5,0,0,2,0,2,Iowa state University,177,B
NU,3.08,ETE,7,0,301,3,3,4.8,Florida International University (FIU),756,D
NU,3.08,ETE,7,0,301,3,3,4.8,North Carolina A&T State University,1950,F
MIST,3.48,ANE,7,0,301,1,0,3.5,Carleton University (Partially funded),625,D
MIST,3.48,ANE,7,0,301,1,0,3.5,"Canada, Fredericton",537,D
KUET,3.7,URP,0,99,307,0,0,2,Kent State University,722,D
JUET,3.4,PME,0,86,310,2,2,0,University of Texas Rio Grande Valley,759,E
KUET,3.15,EEE,6.5,0,309,0,0,1.5,South Dakota School of Mines & ,1845,F
KUET,3.15,EEE,6.5,0,309,0,0,1.5,University of Houston ,299,B
KUET,3.15,EEE,6.5,0,309,0,0,1.5,California Polytechnic State University,1207,F
KUET,3.15,EEE,6.5,0,309,0,0,1.5,San Louis Obispo,1207,F
KUET,3.15,EEE,6.5,0,309,0,0,1.5,University of New Mexico ,196,B
KUET,3.15,EEE,6.5,0,309,0,0,1.5,University of South Alabama,1318,F
MIST,3.67,CSE,7.5,0,0,7,0,4,University of Calgary,184,B
RUET,3.25,ME,6.5,0,302,2,0,4,University of New Mexico,196,B
RUET,3.25,ME,6.5,0,302,2,0,4,University of Toledo,722,D
RUET,3.25,ME,6.5,0,302,2,0,4,Arizona State University,212,B
RUET,3.25,ME,6.5,0,302,2,0,4,Texas State University,630,D
RUET,3.5,ETE,6.5,0,308,2,0,3.6,The University of Texas Rio Grande Valley,759,E
JU,3.69,ENGLISH,8,0,0,13,0,6.5,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),27,A
DU,3.54,BBA,0,88,305,0,0,2,University of Toledo ,722,D
DU,3.54,BBA,0,88,305,0,0,2,CMU ,46,A
DU,3.54,BBA,0,88,305,0,0,2,NMSU,783,E
DU,3.54,BBA,0,88,305,0,0,2,WIU,1130,F
DU,3.54,BBA,0,88,305,0,0,2,MTSU ,758,E
DU,3.54,BBA,0,88,305,0,0,2,SDSU ,524,D
DU,3.54,BBA,0,88,305,0,0,2,Memorial University of Newfoundland,606,D
RUET,3.46,IPE ,0,84,301,1,2,3," Texas Tech University (PhD Rejected, MS Admission)",630,D
RUET,3.46,IPE ,0,84,301,1,2,3," University of Connecticut (MS Admission, Without Fund)",743,D
RUET,3.46,IPE ,0,84,301,1,2,3,Texas State University,630,D
AUST,3.52,EEE,7,0,295,0,0,2.5,Southern Illinois University,743,D
AUST,3.52,EEE,7,0,295,0,0,2.5, South Dakota State University and,1099,F
AUST,3.52,EEE,7,0,295,0,0,2.5,Ohio State University ,101,A
AUST,3.52,EEE,7,0,295,0,0,2.5,Texas State University,630,D
BUET,3.33,ME,0,107,330,0,0,0.7,University of Louisiana at Lafayette,666,D
BUET,3.63,ME,7.5,0,319,1,0,3,Central Michigan University ,1473,F
IUT,3.89,CSE,0,106,313,0,0,45,Illinois Institute of Technology (IIT),395,C
IUT,3.89,CSE,0,106,313,0,0,45,University of Saskatchewan,303,C
KUET,3.55,URP,0,112,321,1,1,1.1,Iowa State University ,177,B
KUET,3.55,URP,0,112,321,1,1,1.1,The University of Texas at Austin,67,A
UAP,3.43,CEE,7,0,306,1,0,2,Florida International University (FIU),756,E
IUB,4,BIO,7,0,310,0,0,0,University of Central Florida.,605,D
IUB,4,BIO,7,0,310,0,0,0,North Dakota State University(NDSU),561,D
IUT,3.73,CSE,7,0,0,2,2,0.6,University of Manitoba,617,D
IUT,3.73,CSE,7,0,0,2,2,0.6,University of Alberta ,119,A
AIUB,3.99,CSE,0,109,337,1,0,0.6,University of British Columbia-Okanagan,45,A
AIUB,3.99,CSE,0,109,337,1,0,0.6,University of Manitoba,617,D
AIUB,3.99,CSE,0,109,337,1,0,0.6, University of Western Ontario,207,B
AIUB,3.99,CSE,0,109,337,1,0,0.6,University of Alberta,119,A
DU,3.43,SWE,0,102,309,1,0,0,New Mexico State University,147,A
DU,3.63,CHEMISTRY,0,88,301,0,0,2,"Louisiana State University,",666,D
DU,3.63,CHEMISTRY,0,88,301,0,0,2, Wayne State University,739,D
DU,3.63,CHEMISTRY,0,88,301,0,0,2, Michigan Technological University,591,D
DU,3.6,BBA,7,0,308,0,0,0,Illinois State University,1355,F
JU,3.9,MATH,0,99,310,0,0,0,Kansas State ,754,E
JU,3.9,MATH,0,99,310,0,0,0,Concordia University,613,D
JU,3.9,MATH,0,99,310,0,0,0,Texas Tech University,630,D
DU,3.27,PHYSICS,0,91,0,2,4,1.5,Wichita State University,1638,F
DU,3.27,PHYSICS,0,91,0,2,4,1.5, University of Akron,494,C
DU,3.27,PHYSICS,0,91,0,2,4,1.5,University of Idaho,665,D
DU,3.27,PHYSICS,0,91,0,2,4,1.5,Wright State University.,825,E
DU,3.27,PHYSICS,0,91,0,2,4,1.5,Miami University,751,E
SAU,3.52,AE,7.6,0,0,0,0,0,North Dakota State University,561,E
DU,3.67,OTHER,0,96,301,2,1,2,Illinois State University,1355,F
EWU,3.36,BBA,7,0,0,0,0,2,University of Wollongong,181,B
JU,3.62,BIOTECH,0,108,320,1,0,0,Missouri State University,800,E
AUST,3.2,IPE,6.5,0,303,0,0,1.5,RIT,935,E
AUST,3.2,IPE,6.5,0,303,0,0,1.5,UTK,432,C
AUST,3.2,IPE,6.5,0,303,0,0,1.5,North Dakota,561,D
AUST,3.2,IPE,6.5,0,303,0,0,1.5,Colorado State University-Pueblo,1202,F
OTHER,3.42,CSE,,0,0,1,0,0.6,RWTH Aachen University,130,A
OTHER,3.3,OTHER,7.5,0,305,0,0,0.7,Saint Louis University,441,C
IUT,3.15,CEE,8,0,316,1,0,2,Pennsylvania State University (No funding),101,A
IUT,3.15,CEE,8,0,316,1,0,2,"University of Nevada, Reno (No funding)",599,D
IUT,3.15,CEE,8,0,316,1,0,2,Florida Institute of Technology,956,E
IUT,3.15,CEE,8,0,316,1,0,2,University of Alabama at Birmingham (Full funding),191,B
IUT,3.15,CEE,8,0,316,1,0,2,University of Kansas,224,B
BUP,3.5,MEDICINE,7,0,0,1,0,1," Bangor University, Wales ( Medical Microbiology and Genetics)",646,D
BUP,3.5,MEDICINE,7,0,0,1,0,1,"Sheffield University, UK ( Cardiovascular Medicine, Genomic Medicine, Regenerative Medicine )",117,A
