Undergrade CGPA,IELTS,TOEFL,GRE/GMAT,Conference Paper,Journal Paper,Job Experience(Years),University Class
3.98,9,0,0,1,0,1,A
3.98,9,0,0,1,0,1,A
3.98,9,0,0,1,0,1,A
3.98,9,0,0,1,0,1,B
3.98,9,0,0,1,0,1,A
3.37,7,0,312,1,1,0,D
3.37,7,0,312,1,1,0,D
3.37,7,0,312,1,1,0,D
3.37,7,0,312,1,1,0,F
3.37,7,0,312,1,1,0,D
3.37,7,0,312,1,1,0,D
3.37,7,0,312,1,1,0,E
3.65,6.5,0,308,1,0,3,D
3.94,,120,325,11,0,0.7,A
3.94,,120,325,11,0,0.7,A
3.44,,92,301,2,0,0,E
3.44,,92,301,2,0,0,F
3.44,,92,301,2,0,0,F
3.43,7,0,300,0,0,0.8,E
3.01,7,0,305,1,0,12,E
3.53,0,101,317,0,0,0,A
3.53,0,101,317,0,0,0,C
3.53,0,101,317,0,0,0,D
3.02,0,88,309,6,0,4,E
3.02,0,108,321,0,1,0.5,E
3.02,0,108,321,0,1,0.5,E
3.24,7.5,0,319,0,0,5.6,C
3.24,7.5,0,319,0,0,5.6,C
3.24,7.5,0,319,0,0,5.6,D
3.24,7.5,0,319,0,0,5.6,F
3.24,7.5,0,319,0,0,5.6,F
3.22,6.5,0,311,2,2,2.5,C
3.22,6.5,0,311,2,2,2.5,C
3.22,6.5,0,311,2,2,2.5,E
3.84,0,91,308,0,0,0,A
3.75,7.5,0,318,3,0,0,C
3.75,7.5,0,318,3,0,0,D
3.75,7.5,0,318,3,0,0,D
3.75,7.5,0,318,3,0,0,D
3.94,0,88,305,1,1,0,D
3.31,7,0,306,0,0,0,F
3.31,7,0,306,0,0,0,E
3.31,7,0,306,0,0,0,F
3.31,7,0,306,0,0,0,F
3.31,7,0,306,0,0,0,D
3.15,7.5,0,316,1,0,7,D
3.15,7.5,0,316,1,0,7,D
3.15,7.5,0,316,1,0,7,D
3.15,7.5,0,316,1,0,7,F
3.15,7.5,0,316,1,0,7,F
3.15,7.5,0,316,1,0,7,F
3.2,6.5,0,313,0,3,0.7,E
3.33,0,100,0,1,0,0.4,A
3.15,7.5,0,0,2,0,2,B
3.15,7.5,0,0,2,0,2,B
3.08,7,0,301,3,3,4.8,D
3.08,7,0,301,3,3,4.8,F
3.48,7,0,301,1,0,3.5,D
3.48,7,0,301,1,0,3.5,D
3.7,0,99,307,0,0,2,D
3.4,0,86,310,2,2,0,E
3.15,6.5,0,309,0,0,1.5,F
3.15,6.5,0,309,0,0,1.5,B
3.15,6.5,0,309,0,0,1.5,F
3.15,6.5,0,309,0,0,1.5,F
3.15,6.5,0,309,0,0,1.5,B
3.15,6.5,0,309,0,0,1.5,F
3.67,7.5,0,0,7,0,4,B
3.25,6.5,0,302,2,0,4,B
3.25,6.5,0,302,2,0,4,D
3.25,6.5,0,302,2,0,4,B
3.25,6.5,0,302,2,0,4,D
3.5,6.5,0,308,2,0,3.6,E
3.69,8,0,0,13,0,6.5,A
3.54,0,88,305,0,0,2,D
3.54,0,88,305,0,0,2,A
3.54,0,88,305,0,0,2,E
3.54,0,88,305,0,0,2,F
3.54,0,88,305,0,0,2,E
3.54,0,88,305,0,0,2,D
3.54,0,88,305,0,0,2,D
3.46,0,84,301,1,2,3,D
3.46,0,84,301,1,2,3,D
3.46,0,84,301,1,2,3,D
3.52,7,0,295,0,0,2.5,D
3.52,7,0,295,0,0,2.5,F
3.52,7,0,295,0,0,2.5,A
3.52,7,0,295,0,0,2.5,D
3.33,0,107,330,0,0,0.7,D
3.63,7.5,0,319,1,0,3,F
3.89,0,106,313,0,0,45,C
3.89,0,106,313,0,0,45,C
3.55,0,112,321,1,1,1.1,B
3.55,0,112,321,1,1,1.1,A
3.43,7,0,306,1,0,2,E
4,7,0,310,0,0,0,D
4,7,0,310,0,0,0,D
3.73,7,0,0,2,2,0.6,D
3.73,7,0,0,2,2,0.6,A
3.99,0,109,337,1,0,0.6,A
3.99,0,109,337,1,0,0.6,D
3.99,0,109,337,1,0,0.6,B
3.99,0,109,337,1,0,0.6,A
3.43,0,102,309,1,0,0,A
3.63,0,88,301,0,0,2,D
3.63,0,88,301,0,0,2,D
3.63,0,88,301,0,0,2,D
3.6,7,0,308,0,0,0,F
3.9,0,99,310,0,0,0,E
3.9,0,99,310,0,0,0,D
3.9,0,99,310,0,0,0,D
3.27,0,91,0,2,4,1.5,F
3.27,0,91,0,2,4,1.5,C
3.27,0,91,0,2,4,1.5,D
