Undergrade CGPA,IELTS or TOEFL,GRE,Conference Paper,Journal Paper,Job Experience(Years),Class
3.5,111,328,0,2,3.4,1
3.5,111,328,0,2,3.4,4
3.5,111,328,0,2,3.4,4
3.5,111,328,0,2,3.4,4
3.5,111,328,0,2,3.4,1
3.83,112,327,1,0,1.6,1
3.83,112,327,1,0,1.6,3
3.83,112,327,1,0,1.6,3
3.41,104,315,1,0,0.9,3
3.41,104,315,1,0,0.9,4
3.67,101,300,12,0,4.5,3
3.67,101,300,12,0,4.5,4
3.67,101,300,12,0,4.5,3
3.6,104,314,5,1,0.1,1
3.6,104,314,5,1,0.1,4
3.6,104,314,5,1,0.1,2
3.6,104,314,5,1,0.1,2
3.6,104,314,5,1,0.1,1
3.68,101,311,5,2,0.5,3
3.68,101,311,5,2,0.5,3
3.68,101,311,5,2,0.5,3
3.68,101,311,5,2,0.5,2
3.491,107,310,3,6,5.6,3
3.01,101,314,0,0,0,3
3.84,118,311,5,0,0.8,1
3.84,118,311,5,0,0.8,1
3.84,118,311,5,0,0.8,1
3.84,118,311,5,0,0.8,2
2.98,101,305,6,3,3.5,2
3.21,101,316,0,0,1.5,3
3.21,101,316,0,0,1.5,2
3.21,101,316,0,0,1.5,2
3.21,101,316,0,0,1.5,3
3.21,101,316,0,0,1.5,3
3.21,101,316,0,0,1.5,4
3.06,93,306,1,0,1,3
3.06,93,306,1,0,1,2
3.06,93,306,1,0,1,3
3.31,92,316,0,0,0.4,3
3.13,87,317,0,0,4,3
3.13,87,317,0,0,4,3
3.13,87,317,0,0,4,4
3.44,108,328,0,0,0,2
3.44,108,328,0,0,0,2
3.44,108,328,0,0,0,2
3.44,108,328,0,0,0,2
3.79,120,319,0,0,4,1
3.79,120,319,0,0,4,1
3.79,120,319,0,0,4,1
3.79,120,319,0,0,4,1
3.79,120,319,0,0,4,2
3.79,120,319,0,0,4,1
3.84,103,320,3,0,0.1,2
3.84,103,320,3,0,0.1,2
3.65,100,314,1,0,1,2
3.65,96,311,1,0,3.5,1
3.65,96,311,1,0,3.5,2
3.74,105,215,3,4,2,1
3.91,95,313,2,0,0.6,1
3.74,105,318,1,0,1.5,2
3.74,105,318,1,0,1.5,3
3.4,109,316,0,0,3,3
3.4,109,316,0,0,3,2
3.83,120,336,1,2,2,1
3.79,101,307,2,0,3.1,4
3.89,111,333,12,0,2,1
3.89,111,333,12,0,2,2
3.85,111,327,1,0,1,1
3.23,115,324,4,1,1.5,1
3.16,112,324,0,0,0,2
3.16,112,324,0,0,0,3
3.16,112,324,0,0,0,2
3.16,112,324,0,0,0,2
3.16,112,324,0,0,0,2
3.16,112,324,0,0,0,3
3.52,99,323,0,0,1.2,2
3.87,114,322,3,0,2,1
3.64,114,310,1,0,0.3,3
3.45,114,323,1,0,2,2
3.11,102,323,0,0,0.3,1
3.55,96,322,2,0,0.6,3
3.71,93,307,1,0,2.5,2
3.71,93,307,1,0,2.5,3
3.37,86,306,2,0,0,4
3.37,86,306,2,0,0,2
3.9,92,306,0,0,0,3
3.9,92,306,0,0,0,2
3.52,94,308,0,0,0,2
3.52,94,308,0,0,0,1
3.69,95,308,0,0,0.9,4
3.81,114,318,1,2,0,2
